Incident_ID,Equipment,Symptoms,Root_Cause,Corrective_Action,Downtime_Hours,Lessons_Learned
INC-032,Continuous Caster,Withdrawal roll slippage on slab,Insufficient hydraulic pinch pressure,Adjusted proportional valve and recalibrated load cells,1.0,Verify withdrawal roll pinch pressure settings before every cast
INC-033,Continuous Caster,Mould water return temperature too high,Scale buildup in the mould copper cooling slots,Removed mould and chemically descaled the cooling slots,5.0,Tightly control primary cooling water chemistry and pH
INC-034,Rolling Mill,Roughing stand pinion gear catastrophic failure,Severe misalignment and shock loading from cold slabs,Replaced pinion stand completely and realigned drive train,36.0,Install automated temperature scanners to reject cold slabs before rougher
INC-035,Rolling Mill,AGC (Auto Gauge Control) cylinder slow response,Internal seal bypass in the servo-hydraulic cylinder,Replaced AGC cylinder and flushed servo valve block,4.5,Implement step-response testing of AGC cylinders during weekly PMs
INC-036,Rolling Mill,Looper table failed to rise,Pneumatic actuator airline sheared,Spliced the pneumatic airline and secured it away from moving parts,1.0,Reroute all pneumatic lines on looper tables through armored conduit
INC-037,Rolling Mill,Coiler wrapper roll jammed,Strip tail end cobble wedged in the wrapper gap,Manually cut out the cobble and reset the wrapper mechanism,2.5,Adjust wrapper roll gap timing to match strip tail speed accurately
INC-038,Rolling Mill,Pinch roll drive shaft snapped,Fatigue failure from torsional vibration,Replaced drive shaft and installed torque limiting coupling,6.0,Perform torsional vibration analysis on all pinch roll drive trains
INC-039,Rolling Mill,Laminar cooling header uneven spray,Algae buildup blocking the upper header nozzles,Flushed headers with biocide and replaced nozzles,3.0,Increase biocide dosing in the laminar cooling water circuit
INC-040,Rolling Mill,Crop shear blade chipped prematurely,Blade clearance set incorrectly causing edge collision,Replaced shear blades and recalibrated gap clearance,4.0,Use feeler gauges to verify shear blade clearance post-installation
INC-041,Rolling Mill,Entry guide box roller seized,Scale ingress destroyed the roller bearing,Replaced roller and upgraded to a sealed ceramic bearing design,1.5,Purge guide box bearings with compressed air to keep scale out
INC-042,Rolling Mill,Work roll bearing temperature over 95C,Inadequate grease packing during roll shop prep,Swapped work rolls mid-campaign; repacked bearings properly,2.0,Implement quality control checks in the roll shop for grease weight
INC-043,Rolling Mill,Tension reel mandrel failed to expand,Broken linkage inside the mandrel wedge mechanism,Swapped the mandrel cassette with a spare,8.0,Perform ultrasonic testing of mandrel linkages every 6 months
INC-044,Rolling Mill,Scale pit pump lost suction,Scale buildup buried the pump suction bell,Excavated scale using a clamshell crane and restored flow,5.0,Automate the scale pit dredging schedule based on tonnage rolled
INC-045,Rolling Mill,Main drive DC motor commutator flashing,Carbon brush dust accumulation and low brush tension,Blew out dust; replaced worn carbon brushes and polished commutator,3.5,Mandate monthly brush length and spring tension checks on DC drives
INC-046,Ladle Furnace,Electrode mast failed to raise,Sheared pin in the mast lift rack-and-pinion drive,Replaced the shear pin and verified mast alignment,2.0,Inspect mast guide rollers to prevent binding that shears the pin
INC-047,Ladle Furnace,Roof lift cylinder leaking hydraulic fluid,Heat degradation of the cylinder chevron seals,Replaced seals with Viton high-temp equivalents,3.5,Install radiant heat shields around roof lift cylinders
INC-048,Ladle Furnace,Porous plug failed to bubble argon,Slag penetration froze over the plug surface,Used oxygen lance to open the plug and restored argon flow,1.0,Maintain positive argon pressure through the plug during ladle transport
INC-049,Ladle Furnace,Transformer oil temperature alarm,Cooling water pump for the transformer heat exchanger tripped,Switched to standby pump and reset the alarm,0.5,Interlock the transformer power with the cooling water flow switch
INC-050,Ladle Furnace,Wire feeder jammed feeding calcium wire,Misalignment between the feed rollers and the guide tube,Realigned guide tube and cleared the jammed wire,1.0,Use thicker guide tubes to prevent wire wandering
INC-051,Ladle Furnace,Slag door jammed open,Warped door frame due to excessive radiant heat,Cut out the warped section and welded a reinforced frame,6.0,Implement water-cooled door frames for the Ladle Furnace
INC-052,Ladle Furnace,Water-cooled roof panel leak,Electrical arcing from the electrode punctured the panel,Swapped the roof assembly with a spare,4.0,Adjust electrode regulation limits to prevent roof arcing
INC-053,Ladle Furnace,Current transformer (CT) reading failed,Loose terminal connection burned out the secondary wire,Re-terminated the CT wiring and tested calibration,2.0,Include electrical terminal tightening in the annual shutdown scope
INC-054,Ladle Furnace,Ladle transfer car wheel bearing collapsed,Extreme load and radiant heat destroyed the bearing cage,Lifted car off rails; replaced wheel assembly,8.0,Upgrade to high-temperature synthetic grease for transfer cars
INC-055,Ladle Furnace,Alloy bin weigh-feeder reading inaccurate,Dust buildup on the load cell mechanism,Cleaned the load cell and calibrated the weigh-feeder,1.5,Enclose the load cells in pressurized dust-proof housings
INC-056,Ladle Furnace,Argon purge flowmeter drifting,Contamination in the argon supply line,Replaced the flowmeter and installed an inline gas filter,2.0,Blow down argon supply lines prior to connecting to the flow panel
INC-057,Cooling Pump,Mechanical seal leaking heavily,Dry running due to loss of suction head,Replaced mechanical seal and primed the pump properly,3.0,Install low-suction pressure trip switches on all cooling pumps
INC-058,Cooling Pump,Thrust bearing temperature spike,Axial overload caused by a worn impeller wear ring,Replaced bearing and installed new casing wear rings,5.5,Monitor pump axial vibration as an early indicator of wear ring failure
INC-059,Cooling Pump,Severe impeller cavitation noise,Suction valve was partially closed restricting flow,Fully opened suction valve and inspected impeller for pitting,1.0,Lock-open all manual suction valves with a chain and padlock
INC-060,Cooling Pump,Coupling insert shredded,Pump and motor were severely misaligned after baseplate repair,Replaced polyurethane insert and performed laser alignment,2.5,Mandate laser alignment documentation for any motor movement
INC-061,Cooling Pump,Motor stator winding short to ground,Moisture ingress in the motor terminal box,Replaced motor with a spare; sealed terminal box with RTV,4.0,Use silica gel packets in terminal boxes in high-humidity areas
INC-062,Cooling Pump,High radial vibration (12 mm/s),Bent pump shaft due to sudden ingestion of a solid object,Replaced the entire rotating assembly,8.0,Ensure suction strainers are fully intact and sized correctly
INC-063,Cooling Pump,Suction strainer blocked,Algae and plastic debris in the cooling tower basin,Cleaned strainer and initiated cooling tower basin dredging,2.0,Improve cooling tower screening and water treatment protocols
INC-064,Cooling Pump,Discharge check valve slammed shut (Water Hammer),Broken dampener spring inside the check valve,Replaced check valve internals,4.5,Implement non-slam tilting disc check valves for large pumps
INC-065,Cooling Pump,Casing cracked near discharge flange,Pipe strain due to improper pipe support installation,Welded casing crack and adjusted pipe hangers to relieve strain,12.0,Conduct pipe strain checks before final torquing of pump flanges
INC-066,Cooling Pump,Auto-start logic failed during pressure drop,Faulty pressure transmitter sent a frozen signal to the PLC,Replaced pressure transmitter and tested auto-start sequence,1.5,Program PLC to detect flatlined/frozen sensor signals
INC-067,Cooling Pump,Motor cooling fan shattered,Plastic fan became brittle from ambient heat and UV exposure,Replaced fan with a cast aluminum equivalent,2.0,Standardize on metal cooling fans for all motors in hot plant zones
INC-068,Compressor,Intercooler air temperature high (75C),Scale fouling inside the water tubes of the intercooler,Acid-washed the intercooler tube bundle,6.0,Treat compressor cooling water to prevent calcium scale buildup
INC-069,Compressor,Intake air filter collapsed,Extreme dust load from nearby bulk material handling,Replaced filter elements and relocated the air intake stack,3.0,Install pre-filters/cyclones on compressor intakes in dusty environments
INC-070,Compressor,Stage 1 discharge valve broken,Valve plate fractured due to fatigue,Replaced discharge valve assembly,4.0,Adhere strictly to the 8000-hour valve replacement schedule
INC-071,Compressor,Main oil pump lost pressure,Sheared drive pin on the mechanical oil pump,Replaced drive pin and verified oil flow,2.5,Inspect oil pump drive pins during major compressor overhauls
INC-072,Compressor,Compressor went into severe surge,Anti-surge valve failed to open due to a blown I/P transducer,Replaced transducer and re-tuned the anti-surge controller,3.5,Test anti-surge valve operation manually every month
INC-073,Compressor,Main drive motor over-temperature,Blocked cooling air passages in the motor casing,Blew out the motor casing with compressed air,1.5,Include motor casing cleaning in the monthly PM route
INC-074,Compressor,Unloader valve stuck open,Galled piston in the unloader pneumatic cylinder,Honed the cylinder and replaced the unloader piston rings,3.0,Lubricate unloader air supply with inline pneumatic oilers
INC-075,Compressor,Moisture separator trap failed closed,Condensate carryover into the plant air system,Replaced the float trap with a timed electronic drain valve,1.0,Standardize electronic auto-drains on all compressor moisture separators
INC-076,Compressor,Stage 2 temperature rising steadily,Carbon buildup on the discharge valves restricting flow,Removed valves and cleaned carbon deposits,4.5,Switch to a synthetic compressor oil with higher thermal stability
INC-077,Compressor,Blowoff silencer ruptured,Silencer internals corroded from acidic condensate,Replaced silencer with a stainless steel unit,5.0,Use corrosion-resistant materials for all blowoff and drain piping
INC-078,Compressor,High vibration on the bull gear,Worn journal bearing causing excessive clearance,Replaced bull gear journal bearing and checked gear mesh,14.0,Conduct routine vibration spectrum analysis to catch journal wear early
INC-079,Exhaust Fan,Severe casing vibration (18 mm/s),Uneven dust buildup on the fan impeller blades,Manually cleaned the impeller and performed dynamic balancing,6.0,Repair the automated compressed air pulse-cleaning system
INC-080,Exhaust Fan,Motor drive end bearing failed,Over-tensioned V-belts created excessive radial load,Replaced bearing and tensioned belts to manufacturer spec,5.0,Use sonic belt tension meters instead of relying on thumb pressure
INC-081,Exhaust Fan,V-belts snapped simultaneously,Misaligned pulleys caused edge wear on the belts,Laser aligned pulleys and installed a new matched set of belts,2.5,Always use a matched set of V-belts from the same manufacturing batch
INC-082,Exhaust Fan,Inlet damper actuator failed to move,Stripped gears in the electric damper actuator,Replaced actuator and checked damper blades for binding,3.0,Lubricate damper blade linkages with high-temp graphite spray
INC-083,Exhaust Fan,Vibration transmitted to the concrete foundation,Broken spring in the vibration isolation mount,Replaced all four vibration isolators under the fan base,4.0,Replace vibration isolators in complete sets to maintain level
INC-084,Exhaust Fan,Ductwork expansion joint tore,Acidic off-gas condensation deteriorated the fabric,Replaced expansion joint with a PTFE-lined composite material,5.5,Ensure off-gas temperature remains above the acid dew point
INC-085,Exhaust Fan,Lube oil flow alarm triggered,Clogged inline oil filter,Switched to the duplex filter side and replaced the dirty element,0.5,Install differential pressure gauges on all forced-lube oil filters
INC-086,Exhaust Fan,Electrical trip on startup,Soft starter SCR module shorted out,Bypassed soft starter (direct-on-line start) temporarily; ordered new SCR,8.0,Keep spare SCR modules in the climate-controlled electrical store
INC-087,Exhaust Fan,Toxic gas leak from fan shaft seal,Carbon ring seal wore out due to shaft runout,Realigned the fan shaft and replaced the carbon ring seal,6.5,Monitor shaft runout during balancing to prevent premature seal wear
INC-088,Exhaust Fan,Baseplate foundation bolt sheared,Loose nut allowed the fan to bounce and shear the bolt,Drilled out old bolt; installed new epoxy anchor bolt,10.0,Check baseplate bolt torque quarterly on all heavy rotating equipment
INC-089,Exhaust Fan,Bearing housing oil leak,Sight glass cracked from accidental impact,Drained oil; replaced sight glass and refilled housing,1.5,Install metal guards over glass components on field equipment
INC-090,Crane,Main hoist wire rope severely frayed,Rope jumped the sheave groove and rubbed against the housing,Replaced wire rope and installed rope guard pins on the sheave,12.0,Ensure rope tension is maintained when lowering the hook to the floor
INC-091,Crane,Bridge drive failed to stop accurately,Brake pads worn down to the rivets,Replaced brake pads and adjusted the brake air gap,3.0,Implement a caliper measurement PM for crane brake pads
INC-092,Crane,Festoon cable snagged and tore,A broken trolley wheel caused the cable to drag and catch,Spliced the power cable and replaced the festoon trolley,4.5,Inspect festoon track and trolleys during every crane PM
INC-093,Crane,Upper limit switch failed causing two-blocking,Moisture corroded the limit switch contacts,Replaced limit switch and installed a secondary weighted limit,2.0,Require daily operator functional testing of all hoist limit switches
INC-094,Crane,Long travel wheel bearing collapsed,Crane bridge was skewed out of square causing side-loading,Replaced wheel assembly and squared the crane bridge,16.0,Monitor crane wheel flange wear as an indicator of bridge skew
INC-095,Crane,Hook block thrust bearing seized,Radiant heat from ladles dried out the bearing grease,Replaced thrust bearing and applied high-temp aluminum complex grease,5.0,Equip ladle cranes with heat-shielded hook blocks
INC-096,Crane,Load cell reading heavily fluctuating,Cable interference from the VFD motor wires,Rerouted the load cell signal cable through shielded conduit,2.5,Always separate low-voltage signal cables from high-voltage power cables
INC-097,Crane,Cabin air conditioning failed,Compressor condenser coils blocked with steel plant dust,Cleaned coils and restored AC operation,1.5,Increase cabin AC filter replacement frequency to bi-weekly
INC-098,Crane,Cross travel motor burned out,Operator excessively plugged (rapid reversed) the motor,Replaced motor and added anti-plugging logic to the VFD,6.0,Train operators on proper crane control and utilize VFD deceleration ramps
INC-099,Crane,Operator joystick deadband excessive,Worn potentiometers in the master controller,Replaced the master controller joystick assembly,1.0,Keep spare pre-calibrated joysticks in the electrical workshop
INC-100,Crane,Main hoist contactor welded shut,Arcing caused by pitted silver contacts,Forced a power disconnect; replaced the contactor,2.0,Inspect critical hoist contactors for pitting during monthly PMs
